model,status,stage,orig_nodes,simp_nodes,node_reduction_pct,onnxsim_check,ort_equiv,export_s,simplify_s,wall_s,error
alexnet,pass,done,82,21,74.4,True,True,11.33,46.62,69.9,
vgg16,pass,done,158,38,75.9,True,True,20.81,134.25,183.14,
resnet18,pass,done,190,49,74.2,True,True,0.37,4.25,8.04,
resnet50,pass,done,469,122,74.0,True,True,2.91,9.69,17.44,
resnext50_32x4d,pass,done,469,122,74.0,True,True,1.12,9.17,14.26,
wide_resnet50_2,pass,done,469,122,74.0,True,True,7.85,30.9,56.66,
mobilenet_v1,pass,done,231,57,75.3,True,True,0.18,1.51,4.17,
mobilenet_v2,pass,done,576,100,82.6,True,True,0.18,1.29,3.73,
mobilenet_v3_small,pass,done,513,141,72.5,True,True,0.12,1.37,3.52,
mobilenet_v3_large,pass,done,593,161,72.8,True,True,0.21,2.65,5.18,
squeezenet1_1,pass,done,303,66,78.2,True,True,0.06,0.43,2.22,
densenet121,pass,done,1395,368,73.6,True,True,0.29,3.26,7.12,
shufflenet_v2_x1_0,pass,done,735,174,76.3,True,True,0.12,1.24,3.64,
googlenet,pass,done,311,105,66.2,True,True,0.27,2.04,4.72,
inception_v3,pass,done,936,216,76.9,True,True,0.9,9.61,14.8,
resnet18_dynbatch,pass,done,190,53,72.1,True,True,0.34,3.36,6.54,
mobilenet_v2_dynbatch,pass,done,576,104,81.9,True,True,0.12,1.3,3.59,
